budget,gross,user_vote,critic_review_ratio,movie_fb,director_fb,actor1_fb,other_actors_fb,duration,face_number,year,country,content,binned_score
237000000,760505847,886204,0.236738703,33000,949.3756281,1000,1791,178,2.388288288,2009,USA,PG-13,"(6, 8]"
300000000,309404152,471220,0.243941842,16719.61766,563,40000,6000,169,2.388288288,2007,USA,PG-13,"(6, 8]"
245000000,200074175,275868,0.605633803,85000,949.3756281,11000,554,148,1,2015,UK,PG-13,"(6, 8]"
250000000,448130642,1144337,0.30099963,164000,22000,27000,46000,164,2.388288288,2012,USA,PG-13,"(8, 10]"
258000000,336530303,383056,0.206098843,16719.61766,949.3756281,24000,15000,156,2.388288288,2007,USA,PG-13,"(6, 8]"
260000000,200807262,294810,0.837209302,29000,15,799,837,100,1,2010,USA,PG,"(6, 8]"
250000000,458991599,462669,0.568487019,118000,949.3756281,26000,40000,141,4,2015,USA,PG-13,"(6, 8]"
250000000,330249062,371639,0.222995361,197000,949.3756281,15000,6000,183,2.388288288,2016,USA,PG-13,"(6, 8]"
209000000,200069408,240396,0.183354457,16719.61766,949.3756281,18000,10903,169,2.388288288,2006,USA,PG-13,"(6, 8]"
225000000,423032628,522040,0.170851528,5000,563,40000,6000,151,2,2006,USA,PG-13,"(6, 8]"
215000000,89289910,181792,0.632911392,48000,563,40000,3000,150,1,2013,USA,PG-13,"(6, 8]"
225000000,291021565,548573,0.289037855,118000,949.3756281,15000,3748,143,2.388288288,2013,USA,PG-13,"(6, 8]"
225000000,141614023,149922,0.589041096,16719.61766,80,22000,417,150,4,2008,USA,PG,"(6, 8]"
220000000,623279547,995415,0.408246225,123000,949.3756281,26000,40000,173,3,2012,USA,PG-13,"(8, 10]"
250000000,241063875,370704,0.925619835,58000,252,40000,12000,136,4,2011,USA,PG-13,"(6, 8]"
225000000,179020854,268154,1.322580645,40000,188,10000,1534,106,1,2012,USA,PG-13,"(6, 8]"
250000000,255108370,354228,0.526184539,65000,949.3756281,5000,1745,164,2.388288288,2014,Other,PG-13,"(6, 8]"
230000000,262030663,451803,0.488979592,56000,464,15000,10963,153,2.388288288,2012,USA,PG-13,"(6, 8]"
200000000,105219735,211765,0.628205128,17000,949.3756281,891,1620,156,2.388288288,2010,USA,PG-13,"(6, 8]"
180000000,70083519,149019,0.376876877,16719.61766,129,16000,7000,113,2,2007,USA,PG-13,"(6, 8]"
200000000,658672302,793059,0.12460443,26000,949.3756281,29000,14794,194,2.388288288,1997,USA,PG-13,"(6, 8]"
150000000,652177271,418214,0.499224806,150000,365,3000,3000,124,2.388288288,2015,USA,PG-13,"(6, 8]"
200000000,304360277,522030,0.500667557,80000,949.3756281,883,956,143,2.388288288,2012,UK,PG-13,"(6, 8]"
200000000,373377893,411164,0.230237913,16719.61766,949.3756281,24000,15000,135,1,2004,USA,PG-13,"(6, 8]"
200000000,408992272,557489,0.51221567,95000,1000,21000,7000,195,3,2013,USA,PG-13,"(6, 8]"
210000000,234360014,383427,0.174686192,16719.61766,420,20000,1368,104,2.388288288,2006,Other,PG-13,"(6, 8]"
200000000,268488329,235025,1.418867925,44000,37,12000,1539,104,2.388288288,2013,USA,G,"(6, 8]"
215000000,234903076,175409,1.02739726,60000,949.3756281,44000,26000,130,4,2013,USA,PG,"(6, 8]"
200000000,191450875,101178,1.074204947,10000,487,1000,1695,106,2.388288288,2011,USA,G,"(6, 8]"
200000000,116593191,223393,0.792727273,24000,258,16000,694,123,2,2011,USA,PG-13,"(4, 6]"
200000000,414984497,544884,0.618008186,30000,125,15000,1721,103,3,2010,USA,G,"(8, 10]"
190000000,202351611,465019,0.657286432,129000,395,17000,12000,123,2.388288288,2013,USA,PG-13,"(6, 8]"
200000000,233914986,514125,0.716755319,82000,949.3756281,34000,42000,149,7,2014,USA,PG-13,"(6, 8]"
195000000,65171860,106416,1.648780488,22000,949.3756281,979,697,114,1,2013,USA,PG-13,"(6, 8]"
200000000,90755643,222403,0.675496689,23000,179,15000,803,116,2,2010,USA,PG-13,"(6, 8]"
195000000,352358779,326180,0.476084538,46000,949.3756281,894,1410,154,2,2011,USA,PG-13,"(6, 8]"
185000000,237282182,273556,1.140186916,39000,56,2000,1838,93,2.388288288,2012,USA,PG,"(6, 8]"
185000000,130468626,53607,0.74537037,30000,681,998,224,122,4,2016,USA,PG-13,"(6, 8]"
180000000,223806889,718837,0.403643337,16000,475,1000,1251,98,2.388288288,2008,USA,G,"(8, 10]"
200000000,137850096,72809,0.963855422,16719.61766,949.3756281,18000,24000,96,2.388288288,2009,USA,PG,"(6, 8]"
176000000,47375327,139593,0.533333333,44000,949.3756281,17000,28000,127,1,2015,USA,PG-13,"(4, 6]"
180000000,291709845,286506,0.194121668,16719.61766,80,1000,272,150,5,2005,USA,PG,"(6, 8]"
178000000,154985087,148379,0.636655949,54000,949.3756281,34000,14000,144,6,2016,USA,PG-13,"(6, 8]"
185000000,533316061,1676169,0.138204414,37000,22000,23000,24000,152,2.388288288,2008,USA,PG-13,"(8, 10]"
175000000,198332128,114553,1.171122995,16719.61766,11,1000,1432,94,2,2009,USA,PG,"(6, 8]"
140000000,318298180,696338,0.460663507,10000,4000,21000,16000,126,3,2008,USA,PG-13,"(6, 8]"
170000000,73820094,245333,1.005899705,42000,17000,17000,17000,126,2.388288288,2011,USA,PG,"(6, 8]"
170000000,113745408,129601,0.13117284,16719.61766,188,10000,4582,106,2,1999,USA,PG-13,"(4, 6]"
175000000,100289690,115099,0.723735409,2000,293,87000,18000,96,2.388288288,2007,USA,PG,"(4, 6]"
178000000,100189501,431620,0.789473684,77000,218,10000,1363,113,1,2014,USA,PG-13,"(6, 8]"
175000000,88246220,144337,0.294498382,16719.61766,58,711,120,176,2.388288288,1995,USA,PG-13,"(6, 8]"
175000000,150167630,174578,0.468164794,16719.61766,208,23000,2570,118,4,2009,USA,PG-13,"(4, 6]"
175000000,356454367,345198,0.693402329,118000,949.3756281,1000,1151,95,1,2015,USA,PG,"(8, 10]"
175000000,362645141,106072,0.929648241,65000,4000,19000,13591,106,2.388288288,2016,UK,PG,"(6, 8]"
200000000,312057433,522371,0.626556017,18000,4000,21000,23000,124,4,2010,USA,PG-13,"(6, 8]"
170000000,155111815,228554,0.585915493,53000,274,26000,28000,132,2.388288288,2012,USA,PG-13,"(6, 8]"
170000000,208543795,317542,0.840322581,45000,198,10000,2884,130,2.388288288,2014,USA,PG-13,"(6, 8]"
175000000,38297305,116994,0.672839506,35000,47,18000,1982,128,2,2013,USA,PG-13,"(6, 8]"
170000000,259746958,496749,0.776280323,55000,94,19000,13000,136,1,2014,USA,PG-13,"(6, 8]"
165000000,238371987,138661,1.306358382,16719.61766,31,4000,438,93,2,2010,USA,PG,"(6, 8]"
