budget,gross,user_vote,critic_review_ratio,movie_fb,director_fb,actor1_fb,other_actors_fb,duration,face_number,year,country,content,binned_score
237000000,760505847,886204,0.236738703,33000,949.3756281,1000,1791,178,2.388288288,2009,USA,PG-13,"(6, 8]"
245000000,200074175,275868,0.605633803,85000,949.3756281,11000,554,148,1,2015,UK,PG-13,"(6, 8]"
250000000,448130642,1144337,0.30099963,164000,22000,27000,46000,164,2.388288288,2012,USA,PG-13,"(8, 10]"
263700000,73058679,212204,0.62601626,24000,475,640,1162,132,1,2012,USA,PG-13,"(6, 8]"
258000000,336530303,383056,0.206098843,16719.61766,949.3756281,24000,15000,156,2.388288288,2007,USA,PG-13,"(6, 8]"
260000000,200807262,294810,0.837209302,29000,15,799,837,100,1,2010,USA,PG,"(6, 8]"
250000000,458991599,462669,0.568487019,118000,949.3756281,26000,40000,141,4,2015,USA,PG-13,"(6, 8]"
250000000,330249062,371639,0.222995361,197000,949.3756281,15000,6000,183,2.388288288,2016,USA,PG-13,"(6, 8]"
200000000,168368427,330784,0.324215607,16719.61766,395,451,805,106,1,2008,UK,PG-13,"(6, 8]"
225000000,423032628,522040,0.170851528,5000,563,40000,6000,151,2,2006,USA,PG-13,"(6, 8]"
215000000,89289910,181792,0.632911392,48000,563,40000,3000,150,1,2013,USA,PG-13,"(6, 8]"
225000000,291021565,548573,0.289037855,118000,949.3756281,15000,3748,143,2.388288288,2013,USA,PG-13,"(6, 8]"
225000000,141614023,149922,0.589041096,16719.61766,80,22000,417,150,4,2008,USA,PG,"(6, 8]"
220000000,623279547,995415,0.408246225,123000,949.3756281,26000,40000,173,3,2012,USA,PG-13,"(8, 10]"
250000000,241063875,370704,0.925619835,58000,252,40000,12000,136,4,2011,USA,PG-13,"(6, 8]"
225000000,179020854,268154,1.322580645,40000,188,10000,1534,106,1,2012,USA,PG-13,"(6, 8]"
250000000,255108370,354228,0.526184539,65000,949.3756281,5000,1745,164,2.388288288,2014,Other,PG-13,"(6, 8]"
230000000,262030663,451803,0.488979592,56000,464,15000,10963,153,2.388288288,2012,USA,PG-13,"(6, 8]"
200000000,105219735,211765,0.628205128,17000,949.3756281,891,1620,156,2.388288288,2010,USA,PG-13,"(6, 8]"
